received;node name;timestamp;message id;reception delay
received;m3-110;1610721863897.4358;106;647.349609375
received;m3-110;1610721863968.961;107;718.302978515625
received;m3-110;1610721864041.541;108;789.7900390625
received;m3-110;1610721864113.894;109;860.156982421875
received;m3-110;1610721864185.252;110;931.432861328125
received;m3-110;1610721864258.282;111;1002.43896484375
received;m3-110;1610721864333.987;113;1066.26708984375
received;m3-110;1610721864406.697;114;1138.91796875
received;m3-110;1610721864478.8352;115;1209.3720703125
received;m3-110;1610721864550.7468;116;1280.327880859375
received;m3-110;1610721864696.1519;118;1424.73876953125
received;m3-110;1610721864769.248;119;1496.824951171875
received;m3-110;1610721864868.582;128;1482.177001953125
received;m3-110;1610721864940.2412;129;1553.779296875
received;m3-110;1610721865013.186;130;1626.669921875
received;m3-110;1610721865085.009;131;1698.43798828125
received;m3-110;1610721865158.633;132;1770.545166015625
received;m3-110;1610721865230.041;133;1840.97802734375
received;m3-110;1610721865303.7058;134;1913.640869140625
received;m3-110;1610721865382.9392;275;876.788330078125
received;m3-110;1610721865454.469;276;948.18603515625
received;m3-110;1610721865527.79;277;1020.64208984375
received;m3-110;1610721865599.562;278;1092.26806640625
received;m3-110;1610721865743.566;280;1234.39892578125
received;m3-110;1610721865816.8608;281;1307.542724609375
received;m3-110;1610721865892.88;249;1401.694091796875
received;m3-110;1610721865966.451;250;1475.0869140625
received;m3-110;1610721866038.1511;251;1546.045166015625
received;m3-110;1610721866111.1282;252;1617.963134765625
received;m3-110;1610721866183.0261;253;1689.701171875
received;m3-110;1610721866256.031;254;2773.967041015625
received;m3-110;1610721866329.029;255;1834.85498046875
received;m3-110;1610721867078.079;418;1318.905029296875
received;m3-110;1610721867151.261;419;1391.240966796875
received;m3-110;1610721867222.682;420;1461.771728515625
received;m3-110;1610721867296.06;421;1535.112060546875
received;m3-110;1610721867368.1682;422;1606.14013671875
received;m3-110;1610721867445.282;178;4019.231201171875
received;m3-110;1610721867518.464;179;4091.407958984375
received;m3-110;1610721867589.603;180;4162.488037109375
received;m3-110;1610721867662.977;181;4234.93115234375
received;m3-110;1610721867734.735;182;4305.68017578125
received;m3-110;1610721868485.445;583;1494.65625
received;m3-110;1610721868557.506;584;1565.43408203125
received;m3-110;1610721868630.021;585;1637.10302734375
received;m3-110;1610721868824.685;586;727.6259765625
received;m3-110;1610721868847.077;589;1851.27685546875
received;m3-110;1610721868920.377;590;1923.306884765625
received;m3-110;1610721869544.969;687;972.372802734375
received;m3-110;1610721869617.866;688;1043.6728515625
received;m3-110;1610721869689.444;689;1114.990966796875
received;m3-110;1610721869762.91;690;2699.057861328125
received;m3-110;1610721869980.5;693;1403.429931640625
received;m3-110;1610721870096.6;145;6697.55615234375
received;m3-110;1610721870168.658;146;6768.60302734375
received;m3-110;1610721870241.9282;147;6840.88818359375
received;m3-110;1610721870313.8298;148;6912.73779296875
received;m3-110;1610721870386.9531;149;6984.89990234375
received;m3-110;1610721870690.161;360;4967.015869140625
received;m3-110;1610721870763.484;361;6189.46484375
received;m3-110;1610721870980.275;364;5253.413818359375
received;m3-110;1610721871097.9878;791;2459.867919921875
received;m3-110;1610721871228.855;617;4209.916015625
received;m3-110;1610721871301.2021;618;4281.297119140625
received;m3-110;1610721871373.3599;619;4352.46484375
received;m3-110;1610721871445.416;620;4423.529052734375
received;m3-110;1610721871518.447;621;4495.380126953125
received;m3-110;1610721871591.254;622;4567.933837890625
received;m3-110;1610721871703.685;163;8300.126953125
received;m3-110;1610721871775.748;164;8361.701904296875
received;m3-110;1610721871848.644;165;8433.59716796875
received;m3-110;1610721872070.575;920;653.702880859375
received;m3-110;1610721872144.053;921;726.344970703125
received;m3-110;1610721872215.728;922;797.89208984375
received;m3-110;1610721872288.323;923;869.613037109375
received;m3-110;1610721872360.807;924;941.091064453125
received;m3-110;1610721872433.558;925;1013.673095703125
received;m3-110;1610721872708.193;138;9315.132080078125
received;m3-110;1610721872727.8782;140;9333.826171875
received;m3-110;1610721872956.148;903;2095.143798828125
received;m3-110;1610721873028.447;904;2166.60205078125
received;m3-110;1610721873102.236;905;2239.4970703125
received;m3-110;1610721873173.6218;906;2310.843017578125
received;m3-110;1610721873247.68;907;2383.929931640625
received;m3-110;1610721873319.8599;908;2454.596923828125
received;m3-110;1610721874113.061;161;10701.009033203125
received;m3-110;1610721874184.603;162;10771.535888671875
received;m3-110;1610721874261.022;859;3425.010009765625
received;m3-110;1610721874338.1318;1063;1456.538818359375
received;m3-110;1610721874482.118;1065;1598.573974609375
received;m3-110;1610721874555.2449;1066;1670.708740234375
received;m3-110;1610721874627.137;1068;1741.616943359375
received;m3-110;1610721874701.4822;1069;1814.945068359375
received;m3-110;1610721874785.4568;794;6143.36572265625
received;m3-110;1610721874857.306;795;6214.98779296875
received;m3-110;1610721874930.5762;796;6286.768310546875
received;m3-110;1610721875002.148;797;6356.987060546875
received;m3-110;1610721875074.093;798;5385.8369140625
received;m3-110;1610721875412.383;1270;475.818115234375
received;m3-110;1610721875484.625;1271;547.864990234375
received;m3-110;1610721875557.836;1272;620.304931640625
received;m3-110;1610721875629.741;1273;691.01513671875
received;m3-110;1610721875701.9082;1274;762.34521484375
received;m3-110;1610721875774.894;1275;835.135009765625
received;m3-110;1610721876122.685;1357;314.06689453125
received;m3-110;1610721876194.212;1358;384.73095703125
received;m3-110;1610721876267.687;1359;457.055908203125
received;m3-110;1610721876339.9019;1360;528.4248046875
received;m3-110;1610721876412.724;1361;600.278076171875
received;m3-110;1610721876484.3162;1362;670.89208984375
received;m3-110;1610721877203.31;1086;4304.655029296875
received;m3-110;1610721877275.0151;1087;4375.39404296875
received;m3-110;1610721878088.572;1566;1139.8662109375
received;m3-110;1610721878161.864;1567;1212.97900390625
received;m3-110;1610721878233.684;1568;1284.239013671875
received;m3-110;1610721878307.253;1569;1357.684814453125
received;m3-110;1610721878379.004;1570;1428.376708984375
received;m3-110;1610721878450.643;1571;1499.13818359375
received;m3-110;1610721878525.059;1572;1573.38916015625
received;m3-110;1610721878653.099;993;7193.448974609375
received;m3-110;1610721878726.082;995;7265.216064453125
received;m3-110;1610721878797.869;996;7336.8779296875
received;m3-110;1610721878870.9868;997;7409.227783203125
received;m3-110;1610721879062.084;1208;5139.492919921875
received;m3-110;1610721879284.31;1398;3444.14111328125
received;m3-110;1610721879356.022;1399;3515.7568359375
received;m3-110;1610721879429.558;1400;3589.2109375
received;m3-110;1610721879506.82;1598;1336.464111328125
received;m3-110;1610721879608.877;1702;953.874755859375
received;m3-110;1610721879681.248;1703;1447.286865234375
received;m3-110;1610721879753.826;1704;1098.7109375
received;m3-110;1610721879825.915;1705;1169.928955078125
received;m3-110;1610721879898.688;1706;1241.43212890625
received;m3-110;1610721879970.743;1707;1313.352783203125
received;m3-110;1610721880043.4211;1708;1385.273193359375
received;m3-110;1610721880309.8308;1467;3422.27783203125
received;m3-110;1610721880383.18;1468;3494.44482421875
received;m3-110;1610721880454.64;1469;3565.641845703125
received;m3-110;1610721880527.686;1470;3638.1279296875
received;m3-110;1610721880604.967;1637;1989.698974609375
received;m3-110;1610721880739.985;1324;5770.47119140625
received;m3-110;1610721880813.04;1325;5842.541015625
received;m3-110;1610721880885.432;1326;5914.782958984375
received;m3-110;1610721880958.312;1327;5986.7890625
received;m3-110;1610721881029.8271;1328;6057.316162109375
received;m3-110;1610721881332.7178;1739;2655.67578125
received;m3-110;1610721881404.696;1740;2727.552978515625
received;m3-110;1610721881478.253;1741;2800.212890625
received;m3-110;1610721881550.597;1742;2871.56494140625
received;m3-110;1610721881623.519;1744;2943.47509765625
received;m3-110;1610721881694.7998;1745;3013.751953125
received;m3-110;1610721881890.853;1687;3245.698974609375
received;m3-110;1610721881962.789;1688;3316.64013671875
received;m3-110;1610721882036.427;1689;3390.22802734375
received;m3-110;1610721882258.026;1921;923.5087890625
received;m3-110;1610721882561.6902;1993;1184.579345703125
received;m3-110;1610721882633.014;1994;1255.730712890625
received;m3-110;1610721882705.61;1995;1327.500244140625
received;m3-110;1610721882777.948;1996;1398.926025390625
received;m3-110;1610721882852.187;1997;1473.126953125
received;m3-110;1610721882923.781;1998;1543.6630859375
received;m3-110;1610721883564.79;1875;2576.941162109375
received;m3-110;1610721883638.297;1876;2650.189208984375
received;m3-110;1610721883709.944;1877;2721.674072265625
received;m3-110;1610721883783.246;1878;2793.550048828125
received;m3-110;1610721883855.196;1879;2865.237060546875
received;m3-110;1610721884004.48;2044;1318.653076171875
received;m3-110;1610721884080.6912;2056;1387.72705078125
received;m3-110;1610721884152.6438;2057;1458.664794921875
received;m3-110;1610721884225.473;2058;1531.389892578125
received;m3-110;1610721884297.541;2059;1602.566162109375
received;m3-110;1610721884369.6921;2060;2952.622314453125
received;m3-110;1610721884442.843;2061;1746.883056640625
received;m3-110;1610721884516.202;2062;1820.139892578125
received;m3-110;1610721884630.789;1917;3299.754150390625
received;m3-110;1610721884702.606;1918;3371.497802734375
received;m3-110;1610721884775.821;1919;3443.796875
received;m3-110;1610721884848.96;1920;3514.5068359375
received;m3-110;1610721884921.737;1921;3587.219970703125
received;m3-110;1610721884993.9211;1922;3659.343994140625
received;m3-110;1610721885214.45;2181;1175.81689453125
received;m3-110;1610721885288.2769;2182;1247.849853515625
received;m3-110;1610721885359.66;2183;1319.0830078125
received;m3-110;1610721885431.378;2184;1389.4580078125
received;m3-110;1610721885504.564;2185;1462.501953125
received;m3-110;1610721886514.7651;2306;2396.585205078125
received;m3-110;1610721886588.034;2307;2468.406005859375
received;m3-110;1610721886659.397;2308;2539.614990234375
received;m3-110;1610721886771.525;2199;2718.98486328125
received;m3-110;1610721886846.199;2200;2793.39697265625
received;m3-110;1610721887061.732;2203;3008.489013671875
received;m3-110;1610721887135.4111;2204;3081.43505859375
received;m3-110;1610721887292.563;1973;6244.940185546875
received;m3-110;1610721887371.345;2073;4668.198974609375
received;m3-110;1610721887444.813;2074;4740.899169921875
received;m3-110;1610721887628.202;2331;2089.200927734375
received;m3-110;1610721887699.665;2332;2158.666015625
received;m3-110;1610721887917.634;2335;2373.81787109375
received;m3-110;1610721887997.574;2545;1493.864013671875
