received;node name;timestamp;message id;reception delay
received;m3-110;1610722691110.912;104;59.217041015625
received;m3-110;1610722691184.3618;105;130.853759765625
received;m3-110;1610722691255.733;106;201.9638671875
received;m3-110;1610722691329.009;107;274.067138671875
received;m3-110;1610722691401.27;108;346.066162109375
received;m3-110;1610722691545.01;110;487.238037109375
received;m3-110;1610722691767.7769;115;549.451904296875
received;m3-110;1610722691841.387;116;621.9638671875
received;m3-110;1610722691913.107;117;693.382080078125
received;m3-110;1610722691985.894;118;765.673095703125
received;m3-110;1610722692058.836;119;837.451904296875
received;m3-110;1610722692208.271;205;157.037109375
received;m3-110;1610722692289.34;206;297.68310546875
received;m3-110;1610722692352.256;207;359.340087890625
received;m3-110;1610722692425.007;208;431.830078125
received;m3-110;1610722692570.263;210;575.449951171875
received;m3-110;1610722692678.6958;160;1149.909912109375
received;m3-110;1610722692746.474;161;1217.069091796875
received;m3-110;1610722692818.309;162;1287.760009765625
received;m3-110;1610722692890.678;163;1359.156982421875
received;m3-110;1610722692961.759;164;1430.046875
received;m3-110;1610722693035.428;165;1502.9599609375
received;m3-110;1610722693106.7231;166;1573.068115234375
received;m3-110;1610722693197.99;143;1902.392822265625
received;m3-110;1610722693269.735;144;1989.610107421875
received;m3-110;1610722693343.102;145;2062.838134765625
received;m3-110;1610722693414.719;146;2134.328125
received;m3-110;1610722693488.3599;147;2207.8427734375
received;m3-110;1610722693560.3062;148;2279.6650390625
received;m3-110;1610722693633.1838;149;2185.656005859375
received;m3-110;1610722693749.686;135;2461.51220703125
received;m3-110;1610722693823.993;136;2534.796875
received;m3-110;1610722693896.1091;137;2605.522216796875
received;m3-110;1610722693969.003;138;2677.073974609375
received;m3-110;1610722694041.855;139;2766.944091796875
received;m3-110;1610722694112.345;140;2819.300048828125
received;m3-110;1610722694189.744;394;235.18896484375
received;m3-110;1610722694260.8098;395;305.99365234375
received;m3-110;1610722694334.647;396;379.22607421875
received;m3-110;1610722694405.9229;397;449.3740234375
received;m3-110;1610722694477.71;398;520.90185546875
received;m3-110;1610722694552.259;399;594.89501953125
received;m3-110;1610722694624.646;400;666.18212890625
received;m3-110;1610722694703.5251;350;1303.882080078125
received;m3-110;1610722694782.8928;351;1382.98974609375
received;m3-110;1610722694862.853;352;1462.4541015625
received;m3-110;1610722694919.762;353;1519.192138671875
received;m3-110;1610722695006.676;354;1605.34912109375
received;m3-110;1610722695243.3828;249;2855.65771484375
received;m3-110;1610722695307.678;250;2919.19482421875
received;m3-110;1610722695377.851;251;2988.18994140625
received;m3-110;1610722695449.921;252;3060.0009765625
received;m3-110;1610722695522.7202;253;2958.9150390625
received;m3-110;1610722695596.166;254;3031.751953125
received;m3-110;1610722695832.012;320;2631.006103515625
received;m3-110;1610722695916.2668;321;2713.86279296875
received;m3-110;1610722696341.5789;621;125.158935546875
received;m3-110;1610722696414.737;622;198.057861328125
received;m3-110;1610722696486.595;623;268.6259765625
received;m3-110;1610722696559.67;624;305.988037109375
received;m3-110;1610722696631.622;625;376.218017578125
received;m3-110;1610722696704.8062;626;449.09716796875
received;m3-110;1610722697298.93;506;2127.98583984375
received;m3-110;1610722697371.871;507;2199.80419921875
received;m3-110;1610722697443.3179;508;2349.912841796875
received;m3-110;1610722697516.409;509;2442.968017578125
received;m3-110;1610722697588.027;510;2513.614990234375
received;m3-110;1610722697660.783;511;2586.177978515625
received;m3-110;1610722697772.415;427;3518.93408203125
received;m3-110;1610722697844.602;428;3590.141845703125
received;m3-110;1610722697916.698;429;3662.052978515625
received;m3-110;1610722697989.418;430;3733.98486328125
received;m3-110;1610722698061.705;431;3805.4091796875
received;m3-110;1610722698178.5679;687;1446.71484375
received;m3-110;1610722698267.477;179;6511.27685546875
received;m3-110;1610722698340.6438;180;6583.59375
received;m3-110;1610722698412.4539;181;6655.23095703125
received;m3-110;1610722698486.408;182;6727.807861328125
received;m3-110;1610722698557.52;183;6798.659912109375
received;m3-110;1610722698634.387;427;4380.906005859375
received;m3-110;1610722698712.3762;674;1988.747314453125
received;m3-110;1610722698788.327;509;3714.885986328125
received;m3-110;1610722698861.154;510;3786.741943359375
received;m3-110;1610722698932.498;511;3857.89306640625
received;m3-110;1610722699006.295;512;3930.926025390625
received;m3-110;1610722699077.981;513;4001.391845703125
received;m3-110;1610722699152.241;514;4009.695068359375
received;m3-110;1610722699305.6829;836;1015.561767578125
received;m3-110;1610722699378.605;837;1087.60888671875
received;m3-110;1610722699450.427;838;1158.31982421875
received;m3-110;1610722699521.393;839;1229.02294921875
received;m3-110;1610722699594.472;840;1301.579833984375
received;m3-110;1610722699666.306;841;1372.27001953125
received;m3-110;1610722699740.999;842;1446.111083984375
received;m3-110;1610722699870.903;968;177.964111328125
received;m3-110;1610722699943.1738;969;249.308837890625
received;m3-110;1610722700015.677;970;320.632080078125
received;m3-110;1610722700087.016;971;391.708984375
received;m3-110;1610722700161.133;972;465.26416015625
received;m3-110;1610722700232.056;973;535.009033203125
received;m3-110;1610722700304.782;974;606.9619140625
received;m3-110;1610722700384.339;673;3584.1240234375
received;m3-110;1610722700456.3;674;3732.671142578125
received;m3-110;1610722700529.629;676;3804.2626953125
received;m3-110;1610722700601.948;677;3876.02294921875
received;m3-110;1610722700674.586;678;3947.055908203125
received;m3-110;1610722700747.957;679;4020.169921875
received;m3-110;1610722701412.821;132;10127.655029296875
received;m3-110;1610722701484.298;133;10197.7021484375
received;m3-110;1610722701557.406;134;10269.427001953125
received;m3-110;1610722701780.112;1086;1028.55810546875
received;m3-110;1610722701851.856;1087;1100.1318359375
received;m3-110;1610722701925.335;1089;1172.908935546875
received;m3-110;1610722701996.9858;1090;1242.90478515625
received;m3-110;1610722702069.186;1091;1154.70703125
received;m3-110;1610722702193.971;877;3444.116943359375
received;m3-110;1610722702265.126;878;3514.386962890625
received;m3-110;1610722702339.062;879;3587.14794921875
received;m3-110;1610722702410.9548;880;3658.202880859375
received;m3-110;1610722702482.309;882;3728.576171875
received;m3-110;1610722702555.757;883;3801.85693359375
received;m3-110;1610722702667.205;759;5210.859130859375
received;m3-110;1610722702740.711;760;5284.23095703125
received;m3-110;1610722702813.148;761;5356.0380859375
received;m3-110;1610722702886.113;763;5427.7099609375
received;m3-110;1610722702959.076;764;5499.466064453125
received;m3-110;1610722703035.943;909;3827.994140625
received;m3-110;1610722703113.119;1185;1145.496826171875
received;m3-110;1610722703260.982;1294;345.967041015625
received;m3-110;1610722703332.251;1295;416.416015625
received;m3-110;1610722703405.487;1296;488.450927734375
received;m3-110;1610722703477.07;1297;559.023193359375
received;m3-110;1610722703551.293;1298;633.051025390625
received;m3-110;1610722703622.8909;1299;703.265869140625
received;m3-110;1610722703736.947;573;8029.093994140625
received;m3-110;1610722703810.406;574;8102.381103515625
received;m3-110;1610722703881.1929;575;8172.48583984375
received;m3-110;1610722703954.4922;576;8194.05419921875
received;m3-110;1610722704031.5608;743;6737.665771484375
received;m3-110;1610722704191.487;1394;276.980224609375
received;m3-110;1610722704262.719;1395;348.02099609375
received;m3-110;1610722704336.0032;1396;420.507080078125
received;m3-110;1610722704410.6892;1397;494.0400390625
received;m3-110;1610722704481.4302;1398;563.92431640625
received;m3-110;1610722704552.761;1399;635.06005859375
received;m3-110;1610722704638.615;1270;1923.7578125
received;m3-110;1610722704909.183;1204;2881.461181640625
