1610371641.629583;Aggregator started
1610371800.654791;m3-99;Sending broadcast
1610371800.665775;m3-98;Data received on port 1234 from port 1234 with length 5
1610371804.014515;m3-98;Sending broadcast
1610371804.028733;m3-99;Data received on port 1234 from port 1234 with length 5
1610371809.665573;m3-98;Sending broadcast
1610371809.675993;m3-99;Data received on port 1234 from port 1234 with length 5
1610371809.745151;m3-99;Sending broadcast
1610371809.758591;m3-98;Data received on port 1234 from port 1234 with length 5
1610371812.785241;m3-99;Sending broadcast
1610371812.795907;m3-98;Data received on port 1234 from port 1234 with length 5
1610371814.475092;m3-98;Sending broadcast
1610371814.487626;m3-99;Data received on port 1234 from port 1234 with length 5
1610371817.474246;m3-98;Sending broadcast
1610371817.493227;m3-99;Data received on port 1234 from port 1234 with length 5
1610371817.936865;m3-99;Sending broadcast
1610371817.948282;m3-98;Data received on port 1234 from port 1234 with length 5
1610371821.916963;m3-99;Sending broadcast
1610371821.939773;m3-98;Data received on port 1234 from port 1234 with length 5
1610371823.073777;m3-98;Sending broadcast
1610371823.087357;m3-99;Data received on port 1234 from port 1234 with length 5
1610371828.155727;m3-98;Sending broadcast
1610371828.196714;m3-99;Data received on port 1234 from port 1234 with length 5
1610371828.684969;m3-99;Sending broadcast
1610371828.720697;m3-98;Data received on port 1234 from port 1234 with length 5
1610371830.334819;m3-99;Sending broadcast
1610371830.375968;m3-98;Data received on port 1234 from port 1234 with length 5
1610371834.593549;m3-98;Sending broadcast
1610371834.615656;m3-99;Data received on port 1234 from port 1234 with length 5
1610371838.104327;m3-98;Sending broadcast
1610371838.118067;m3-99;Data received on port 1234 from port 1234 with length 5
1610371839.546547;m3-99;Sending broadcast
1610371839.556078;m3-98;Data received on port 1234 from port 1234 with length 5
1610371841.954265;m3-98;Sending broadcast
1610371841.965223;m3-99;Data received on port 1234 from port 1234 with length 5
1610371843.335020;m3-99;Sending broadcast
1610371847.805803;m3-99;Sending broadcast
1610371847.818545;m3-98;Data received on port 1234 from port 1234 with length 5
1610371848.803689;m3-98;Sending broadcast
1610371848.815642;m3-99;Data received on port 1234 from port 1234 with length 5
1610371851.955936;m3-98;Sending broadcast
1610371851.964162;m3-99;Data received on port 1234 from port 1234 with length 5
1610371854.316709;m3-99;Sending broadcast
1610371854.328046;m3-98;Data received on port 1234 from port 1234 with length 5
1610371857.295997;m3-99;Sending broadcast
1610371859.914084;m3-98;Sending broadcast
1610371859.925040;m3-99;Data received on port 1234 from port 1234 with length 5
1610371860.393737;m3-98;Sending broadcast
1610371860.409741;m3-99;Data received on port 1234 from port 1234 with length 5
1610371861.604829;m3-99;Sending broadcast
1610371861.615567;m3-98;Data received on port 1234 from port 1234 with length 5
1610371867.964233;m3-98;Sending broadcast
1610371867.977131;m3-99;Data received on port 1234 from port 1234 with length 5
1610371868.865407;m3-99;Sending broadcast
1610371868.878134;m3-98;Data received on port 1234 from port 1234 with length 5
1610371871.825857;m3-99;Sending broadcast
1610371871.836042;m3-98;Data received on port 1234 from port 1234 with length 5
1610371875.013913;m3-98;Sending broadcast
1610371875.024599;m3-99;Data received on port 1234 from port 1234 with length 5
1610371876.697373;m3-99;Sending broadcast
1610371876.707065;m3-98;Data received on port 1234 from port 1234 with length 5
1610371878.803642;m3-98;Sending broadcast
1610371878.814808;m3-99;Data received on port 1234 from port 1234 with length 5
