1610124702.614805;Aggregator started
1610124711.788522;m3-82;
1610124711.792228;m3-82;
1610124711.838498;m3-86;
1610124711.838761;m3-86;
1610124711.852218;m3-83;
1610124711.852480;m3-83;
1610124711.864156;m3-85;
1610124711.864420;m3-85;
1610124711.884467;m3-90;
1610124711.884730;m3-90;
1610124711.898000;m3-87;
1610124711.898262;m3-87;
1610124711.908984;m3-80;
1610124711.909248;m3-80;
1610124711.934099;m3-89;
1610124711.934419;m3-89;
1610124711.942517;m3-84;
1610124711.942780;m3-84;
1610124711.962149;m3-88;
1610124711.962468;m3-88;
1610124711.974818;m3-81;
1610124711.975083;m3-81;
1610124712.788182;m3-82;Platform starting in 1... 
1610124712.788479;m3-82;GO!
1610124712.790081;m3-82;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.791799;m3-82; Starting 'UDP broadcast example process'
1610124712.839274;m3-86;Platform starting in 1... 
1610124712.841181;m3-86;GO!
1610124712.841446;m3-86;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.844032;m3-86; Starting 'UDP broadcast example process'
1610124712.852037;m3-83;Platform starting in 1... 
1610124712.852307;m3-83;GO!
1610124712.853847;m3-83;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.856798;m3-83; Starting 'UDP broadcast example process'
1610124712.864705;m3-85;Platform starting in 1... 
1610124712.864973;m3-85;GO!
1610124712.866328;m3-85;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.868275;m3-85; Starting 'UDP broadcast example process'
1610124712.884476;m3-90;Platform starting in 1... 
1610124712.884745;m3-90;GO!
1610124712.886326;m3-90;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.888109;m3-90; Starting 'UDP broadcast example process'
1610124712.900286;m3-87;Platform starting in 1... 
1610124712.900556;m3-87;GO!
1610124712.900723;m3-87;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.903460;m3-87; Starting 'UDP broadcast example process'
1610124712.908963;m3-80;Platform starting in 1... 
1610124712.909232;m3-80;GO!
1610124712.910945;m3-80;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.912523;m3-80; Starting 'UDP broadcast example process'
1610124712.933557;m3-89;Platform starting in 1... 
1610124712.934449;m3-89;GO!
1610124712.935613;m3-89;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.938829;m3-89; Starting 'UDP broadcast example process'
1610124712.943417;m3-84;Platform starting in 1... 
1610124712.943687;m3-84;GO!
1610124712.944186;m3-84;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.947130;m3-84; Starting 'UDP broadcast example process'
1610124712.962396;m3-88;Platform starting in 1... 
1610124712.962667;m3-88;GO!
1610124712.965812;m3-88;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.967100;m3-88; Starting 'UDP broadcast example process'
1610124712.975105;m3-81;Platform starting in 1... 
1610124712.975365;m3-81;GO!
1610124712.976127;m3-81;[in clock_init() DEBUG] Starting systick timer at 100Hz
1610124712.979251;m3-81; Starting 'UDP broadcast example process'
1610124723.101512;m3-80;Sending broadcast
1610124723.111242;m3-88;Data received on port 1234 from port 1234 with length 10
1610124723.111700;m3-81;Data received on port 1234 from port 1234 with length 10
1610124723.111980;m3-82;Data received on port 1234 from port 1234 with length 10
1610124723.112164;m3-83;Data received on port 1234 from port 1234 with length 10
1610124723.112405;m3-84;Data received on port 1234 from port 1234 with length 10
1610124723.117269;m3-85;Data received on port 1234 from port 1234 with length 10
1610124723.120096;m3-87;Data received on port 1234 from port 1234 with length 10
1610124723.131743;m3-86;Data received on port 1234 from port 1234 with length 10
1610124724.056174;m3-89;Sending broadcast
1610124724.066188;m3-86;Data received on port 1234 from port 1234 with length 10
1610124724.066617;m3-87;Data received on port 1234 from port 1234 with length 10
1610124724.066820;m3-80;Data received on port 1234 from port 1234 with length 10
1610124724.067158;m3-84;Data received on port 1234 from port 1234 with length 10
1610124724.067439;m3-82;Data received on port 1234 from port 1234 with length 10
1610124724.067609;m3-88;Data received on port 1234 from port 1234 with length 10
1610124724.073391;m3-81;Data received on port 1234 from port 1234 with length 10
1610124724.074304;m3-85;Data received on port 1234 from port 1234 with length 10
1610124724.074569;m3-83;Data received on port 1234 from port 1234 with length 10
1610124724.074829;m3-90;Data received on port 1234 from port 1234 with length 10
1610124724.276764;m3-90;Sending broadcast
1610124724.287263;m3-84;Data received on port 1234 from port 1234 with length 10
1610124724.287797;m3-83;Data received on port 1234 from port 1234 with length 10
1610124724.288096;m3-81;Data received on port 1234 from port 1234 with length 10
1610124724.288918;m3-87;Data received on port 1234 from port 1234 with length 10
1610124724.289108;m3-88;Data received on port 1234 from port 1234 with length 10
1610124724.294295;m3-86;Data received on port 1234 from port 1234 with length 10
1610124724.910814;m3-87;Sending broadcast
1610124724.921800;m3-89;Data received on port 1234 from port 1234 with length 10
1610124724.922212;m3-88;Data received on port 1234 from port 1234 with length 10
1610124724.923446;m3-82;Data received on port 1234 from port 1234 with length 10
1610124724.923943;m3-90;Data received on port 1234 from port 1234 with length 10
1610124724.925608;m3-86;Data received on port 1234 from port 1234 with length 10
1610124724.929130;m3-84;Data received on port 1234 from port 1234 with length 10
1610124724.929419;m3-85;Data received on port 1234 from port 1234 with length 10
1610124724.929728;m3-81;Data received on port 1234 from port 1234 with length 10
1610124724.930116;m3-83;Data received on port 1234 from port 1234 with length 10
1610124726.078091;m3-81;Sending broadcast
1610124726.085349;m3-89;Data received on port 1234 from port 1234 with length 10
1610124726.085862;m3-85;Data received on port 1234 from port 1234 with length 10
1610124726.086156;m3-86;Data received on port 1234 from port 1234 with length 10
1610124726.086458;m3-82;Data received on port 1234 from port 1234 with length 10
1610124726.101792;m3-80;Data received on port 1234 from port 1234 with length 10
1610124726.110544;m3-88;Data received on port 1234 from port 1234 with length 10
1610124726.111843;m3-83;Data received on port 1234 from port 1234 with length 10
1610124726.117513;m3-90;Data received on port 1234 from port 1234 with length 10
1610124726.826079;m3-85;Sending broadcast
1610124726.855754;m3-82;Data received on port 1234 from port 1234 with length 10
1610124726.856119;m3-84;Data received on port 1234 from port 1234 with length 10
1610124726.863823;m3-87;Data received on port 1234 from port 1234 with length 10
1610124726.864131;m3-89;Data received on port 1234 from port 1234 with length 10
1610124726.868528;m3-80;Data received on port 1234 from port 1234 with length 10
1610124727.974090;m3-83;Sending broadcast
1610124727.984251;m3-84;Data received on port 1234 from port 1234 with length 10
1610124727.984542;m3-87;Data received on port 1234 from port 1234 with length 10
1610124727.984823;m3-81;Data received on port 1234 from port 1234 with length 10
1610124727.985731;m3-82;Data received on port 1234 from port 1234 with length 10
1610124727.994844;m3-88;Data received on port 1234 from port 1234 with length 10
1610124727.997805;m3-85;Data received on port 1234 from port 1234 with length 10
1610124728.024470;m3-88;Sending broadcast
1610124728.032494;m3-89;Data received on port 1234 from port 1234 with length 10
1610124728.035550;m3-90;Data received on port 1234 from port 1234 with length 10
1610124728.035856;m3-87;Data received on port 1234 from port 1234 with length 10
1610124728.042173;m3-84;Data received on port 1234 from port 1234 with length 10
1610124728.043955;m3-81;Data received on port 1234 from port 1234 with length 10
1610124728.052661;m3-86;Data received on port 1234 from port 1234 with length 10
1610124728.052969;m3-80;Data received on port 1234 from port 1234 with length 10
1610124728.058730;m3-85;Data received on port 1234 from port 1234 with length 10
1610124728.371074;m3-86;Sending broadcast
1610124728.382716;m3-80;Data received on port 1234 from port 1234 with length 10
1610124728.383008;m3-88;Data received on port 1234 from port 1234 with length 10
1610124728.383284;m3-90;Data received on port 1234 from port 1234 with length 10
1610124728.383540;m3-87;Data received on port 1234 from port 1234 with length 10
1610124728.387638;m3-84;Data received on port 1234 from port 1234 with length 10
1610124728.390493;m3-81;Data received on port 1234 from port 1234 with length 10
1610124728.390801;m3-83;Data received on port 1234 from port 1234 with length 10
1610124729.226602;m3-84;Sending broadcast
1610124729.235151;m3-87;Data received on port 1234 from port 1234 with length 10
1610124729.235533;m3-83;Data received on port 1234 from port 1234 with length 10
1610124729.235735;m3-88;Data received on port 1234 from port 1234 with length 10
1610124729.235986;m3-90;Data received on port 1234 from port 1234 with length 10
1610124729.236157;m3-81;Data received on port 1234 from port 1234 with length 10
1610124729.243558;m3-82;Data received on port 1234 from port 1234 with length 10
1610124729.253510;m3-89;Data received on port 1234 from port 1234 with length 10
1610124729.260472;m3-85;Data received on port 1234 from port 1234 with length 10
1610124730.900795;m3-82;Sending broadcast
1610124730.908342;m3-80;Data received on port 1234 from port 1234 with length 10
1610124730.911057;m3-81;Data received on port 1234 from port 1234 with length 10
1610124730.913866;m3-85;Data received on port 1234 from port 1234 with length 10
1610124730.918011;m3-89;Data received on port 1234 from port 1234 with length 10
1610124730.919409;m3-86;Data received on port 1234 from port 1234 with length 10
1610124730.921492;m3-87;Data received on port 1234 from port 1234 with length 10
1610124730.921846;m3-83;Data received on port 1234 from port 1234 with length 10
1610124730.923782;m3-90;Data received on port 1234 from port 1234 with length 10
1610124730.933824;m3-84;Data received on port 1234 from port 1234 with length 10
1610124730.935805;m3-88;Data received on port 1234 from port 1234 with length 10
1610124733.858307;m3-90;Sending broadcast
1610124733.867352;m3-82;Data received on port 1234 from port 1234 with length 10
1610124733.867720;m3-86;Data received on port 1234 from port 1234 with length 10
1610124733.867924;m3-87;Data received on port 1234 from port 1234 with length 10
1610124733.868101;m3-83;Data received on port 1234 from port 1234 with length 10
1610124733.868344;m3-81;Data received on port 1234 from port 1234 with length 10
1610124733.868589;m3-89;Data received on port 1234 from port 1234 with length 10
1610124733.868825;m3-85;Data received on port 1234 from port 1234 with length 10
1610124733.869058;m3-84;Data received on port 1234 from port 1234 with length 10
1610124733.874732;m3-88;Data received on port 1234 from port 1234 with length 10
1610124733.875114;m3-80;Data received on port 1234 from port 1234 with length 10
1610124734.040800;m3-82;Sending broadcast
1610124734.056479;m3-80;Data received on port 1234 from port 1234 with length 10
1610124734.058524;m3-86;Data received on port 1234 from port 1234 with length 10
1610124734.058894;m3-84;Data received on port 1234 from port 1234 with length 10
1610124734.059357;m3-89;Data received on port 1234 from port 1234 with length 10
1610124734.059629;m3-85;Data received on port 1234 from port 1234 with length 10
1610124734.063468;m3-90;Data received on port 1234 from port 1234 with length 10
1610124734.065197;m3-88;Data received on port 1234 from port 1234 with length 10
1610124734.068010;m3-87;Data received on port 1234 from port 1234 with length 10
1610124734.075500;m3-83;Data received on port 1234 from port 1234 with length 10
1610124734.077380;m3-81;Data received on port 1234 from port 1234 with length 10
1610124734.771212;m3-87;Sending broadcast
1610124734.781576;m3-82;Data received on port 1234 from port 1234 with length 10
1610124734.782150;m3-86;Data received on port 1234 from port 1234 with length 10
1610124734.782420;m3-81;Data received on port 1234 from port 1234 with length 10
1610124734.782608;m3-88;Data received on port 1234 from port 1234 with length 10
1610124734.783365;m3-85;Data received on port 1234 from port 1234 with length 10
1610124734.792132;m3-89;Data received on port 1234 from port 1234 with length 10
1610124734.814226;m3-80;Data received on port 1234 from port 1234 with length 10
1610124735.124591;m3-83;Sending broadcast
1610124735.134786;m3-89;Data received on port 1234 from port 1234 with length 10
1610124735.135150;m3-90;Data received on port 1234 from port 1234 with length 10
1610124735.135350;m3-85;Data received on port 1234 from port 1234 with length 10
1610124735.135525;m3-88;Data received on port 1234 from port 1234 with length 10
1610124735.135768;m3-86;Data received on port 1234 from port 1234 with length 10
1610124735.135935;m3-82;Data received on port 1234 from port 1234 with length 10
1610124735.136168;m3-84;Data received on port 1234 from port 1234 with length 10
1610124735.142995;m3-87;Data received on port 1234 from port 1234 with length 10
1610124735.143305;m3-81;Data received on port 1234 from port 1234 with length 10
1610124736.135033;m3-84;Sending broadcast
1610124736.146326;m3-85;Data received on port 1234 from port 1234 with length 10
1610124736.146687;m3-89;Data received on port 1234 from port 1234 with length 10
1610124736.153620;m3-82;Data received on port 1234 from port 1234 with length 10
1610124736.660949;m3-86;Sending broadcast
1610124736.700398;m3-84;Data received on port 1234 from port 1234 with length 10
1610124736.700691;m3-81;Data received on port 1234 from port 1234 with length 10
1610124736.700968;m3-87;Data received on port 1234 from port 1234 with length 10
1610124736.701222;m3-85;Data received on port 1234 from port 1234 with length 10
1610124736.701891;m3-90;Data received on port 1234 from port 1234 with length 10
1610124736.702072;m3-83;Data received on port 1234 from port 1234 with length 10
1610124736.709347;m3-82;Data received on port 1234 from port 1234 with length 10
1610124736.713056;m3-89;Data received on port 1234 from port 1234 with length 10
