transmitted;node name;timestamp;message id;transmission success
transmitted;m3-52;1610708698403.403;58599;20
transmitted;m3-52;1610708712763.0652;60035;15
transmitted;m3-52;1610708743913.5051;63150;22
transmitted;m3-52;1610708784153.0981;67174;22
transmitted;m3-52;1610708804643.6091;69223;26
transmitted;m3-52;1610708850513.267;73810;23
transmitted;m3-52;1610708867243.5068;75483;22
transmitted;m3-52;1610708896014.561;78360;21
transmitted;m3-52;1610708934615.0159;82220;21
transmitted;m3-52;1610708964252.815;85184;19
transmitted;m3-52;1610708989783.569;87737;21
transmitted;m3-52;1610709030223.283;91781;20
transmitted;m3-52;1610709062883.951;95047;21
transmitted;m3-52;1610709072783.3508;96037;22
transmitted;m3-52;1610709117423.39;100501;20
transmitted;m3-52;1610709135445.612;102303;22
transmitted;m3-52;1610709187413.807;107500;24
transmitted;m3-52;1610709204663.6812;109225;28
transmitted;m3-52;1610709249913.624;113750;23
transmitted;m3-52;1610709268933.616;115652;21
transmitted;m3-52;1610709291314.493;117890;13
transmitted;m3-52;1610709338153.61;122574;21
transmitted;m3-52;1610709351344.1638;123893;21
transmitted;m3-52;1610709382634.5151;127022;25
transmitted;m3-52;1610709430084.124;131767;22
transmitted;m3-52;1610709456504.303;134409;25
transmitted;m3-52;1610709487824.2668;137541;16
transmitted;m3-52;1610709521104.1511;140869;23
transmitted;m3-52;1610709530185.615;141777;13
transmitted;m3-52;1610709564234.091;145182;19
transmitted;m3-52;1610709599563.8772;148715;20
transmitted;m3-52;1610709632146.179;151973;19
transmitted;m3-52;1610709659094.9868;154668;17
transmitted;m3-52;1610709685526.284;157311;27
transmitted;m3-52;1610709719426.049;160701;23
transmitted;m3-52;1610709735504.608;162309;18
transmitted;m3-52;1610709779194.5369;166678;23
transmitted;m3-52;1610709821966.012;170955;17
transmitted;m3-52;1610709839214.493;172680;22
transmitted;m3-52;1610709865524.466;175311;14
transmitted;m3-52;1610709901214.211;178880;23
transmitted;m3-51;1610708159988.099;4766;17
transmitted;m3-51;1610708178607.6401;6628;21
transmitted;m3-51;1610708208589.114;9626;20
transmitted;m3-51;1610708245307.53;13298;18
transmitted;m3-51;1610708273768.397;16144;17
transmitted;m3-51;1610708303598.4148;19127;8
transmitted;m3-51;1610708344597.891;23227;18
transmitted;m3-51;1610708359239.5698;24691;22
transmitted;m3-51;1610708394299.667;28197;13
transmitted;m3-51;1610708416418.1162;30409;20
transmitted;m3-51;1610708453647.397;34132;14
transmitted;m3-51;1610708486559.277;37423;19
transmitted;m3-51;1610708526427.768;41410;18
transmitted;m3-51;1610708556638.678;44431;19
transmitted;m3-51;1610708589750.427;47742;18
transmitted;m3-51;1610708602048.5588;48972;22
transmitted;m3-51;1610708635228.917;52290;16
transmitted;m3-51;1610708682158.0232;56983;18
transmitted;m3-51;1610708688708.531;57638;16
transmitted;m3-51;1610708732427.9202;62010;16
transmitted;m3-51;1610708767918.725;65559;20
transmitted;m3-51;1610708790868.9448;67854;21
transmitted;m3-51;1610708822598.389;71027;19
transmitted;m3-51;1610708835818.339;72349;22
transmitted;m3-51;1610708872188.086;75986;15
transmitted;m3-51;1610708908730.333;79640;17
transmitted;m3-51;1610708927639.951;81531;16
transmitted;m3-51;1610708953370.76;84104;16
transmitted;m3-51;1610708982368.2139;87004;18
transmitted;m3-51;1610709025388.661;91306;19
transmitted;m3-51;1610709049130.289;93680;20
transmitted;m3-51;1610709078789.052;96646;20
transmitted;m3-51;1610709110729.0908;99840;18
transmitted;m3-51;1610709161210.5051;104888;18
transmitted;m3-51;1610709180929.3909;106860;18
transmitted;m3-51;1610709203770.096;109144;11
transmitted;m3-51;1610709248940.575;113661;16
transmitted;m3-51;1610709276669.051;116434;16
transmitted;m3-51;1610709286989.2012;117466;18
transmitted;m3-51;1610709333800.879;122147;17
transmitted;m3-51;1610709365260.031;125293;18
transmitted;m3-51;1610709386790.494;127446;18
transmitted;m3-51;1610709426169.604;131384;22
transmitted;m3-51;1610709461180.034;134885;24
transmitted;m3-51;1610709476359.719;136403;14
transmitted;m3-51;1610709509829.161;139750;12
transmitted;m3-51;1610709541219.992;142889;19
transmitted;m3-51;1610709555709.974;144338;19
transmitted;m3-51;1610709594469.7312;148214;17
transmitted;m3-51;1610709635161.9412;152283;22
transmitted;m3-51;1610709670000.159;155767;25
transmitted;m3-51;1610709674629.947;156230;15
transmitted;m3-51;1610709710389.752;159806;20
transmitted;m3-51;1610709759279.701;164695;16
transmitted;m3-51;1610709776659.2258;166433;20
transmitted;m3-51;1610709807930.843;169560;16
transmitted;m3-51;1610709847539.948;173521;15
transmitted;m3-51;1610709855539.566;174321;23
transmitted;m3-51;1610709901099.834;178877;21
transmitted;m3-48;1610708144171.619;3178;22
transmitted;m3-48;1610708180102.139;6771;29
transmitted;m3-48;1610708219184.467;10679;25
transmitted;m3-48;1610708234903.626;12251;25
transmitted;m3-48;1610708277254.505;16486;26
transmitted;m3-48;1610708307772.796;19538;21
transmitted;m3-48;1610708324625.092;21223;26
transmitted;m3-48;1610708372493.593;26010;25
transmitted;m3-48;1610708411543.278;29915;26
transmitted;m3-48;1610708437683.698;32529;28
transmitted;m3-48;1610708469294.089;35690;21
transmitted;m3-48;1610708474953.9238;36256;25
transmitted;m3-48;1610708506744.689;39435;18
transmitted;m3-48;1610708538435.52;42604;22
transmitted;m3-48;1610708568464.6;45607;24
transmitted;m3-48;1610708612005.1328;49961;24
transmitted;m3-48;1610708627826.09;51543;25
transmitted;m3-48;1610708654466.012;54207;26
transmitted;m3-48;1610708704566.938;59217;21
transmitted;m3-48;1610708724536.201;61214;15
transmitted;m3-48;1610708760197.5752;64780;17
